"","SID","Alpha","X","age","Age_Category","Condition","Chance","Amount","response_self"
"83","YF005",0.182199169508606,83,16.44166667,"14-17","DA",50,20,"chance"
"84","YF005",0.182199169508606,84,16.44166667,"14-17","DA",25,20,"certain"
"85","YF005",0.182199169508606,85,16.44166667,"14-17","DA",10,20,"certain"
"86","YF005",0.182199169508606,86,16.44166667,"14-17","DA",25,40,"certain"
"87","YF005",0.182199169508606,87,16.44166667,"14-17","DA",25,100,"chance"
"88","YF005",0.182199169508606,88,16.44166667,"14-17","DA",75,5,"certain"
"89","YF005",0.182199169508606,89,16.44166667,"14-17","DA",50,30,"chance"
"90","YF005",0.182199169508606,90,16.44166667,"14-17","DA",50,5,"certain"
"91","YF005",0.182199169508606,91,16.44166667,"14-17","DA",90,40,"chance"
"92","YF005",0.182199169508606,92,16.44166667,"14-17","DA",25,5,"chance"
"93","YF005",0.182199169508606,93,16.44166667,"14-17","DA",75,40,"chance"
"94","YF005",0.182199169508606,94,16.44166667,"14-17","DA",75,30,"chance"
"95","YF005",0.182199169508606,95,16.44166667,"14-17","DA",90,100,"chance"
"96","YF005",0.182199169508606,96,16.44166667,"14-17","DA",25,30,"chance"
"97","YF005",0.182199169508606,97,16.44166667,"14-17","DA",50,10,"certain"
"98","YF005",0.182199169508606,98,16.44166667,"14-17","DA",90,5,"certain"
"99","YF005",0.182199169508606,99,16.44166667,"14-17","DA",10,30,"certain"
"100","YF005",0.182199169508606,100,16.44166667,"14-17","DA",90,10,"chance"
"101","YF005",0.182199169508606,101,16.44166667,"14-17","DA",90,20,"chance"
"102","YF005",0.182199169508606,102,16.44166667,"14-17","DA",75,20,"chance"
"103","YF005",0.182199169508606,103,16.44166667,"14-17","DA",25,50,"chance"
"104","YF005",0.182199169508606,104,16.44166667,"14-17","DA",25,10,"chance"
"105","YF005",0.182199169508606,105,16.44166667,"14-17","DA",90,50,"chance"
"106","YF006",1.29001897332982,106,16.34444444,"14-17","DA",90,30,"certain"
"107","YF006",1.29001897332982,107,16.34444444,"14-17","DA",50,100,"certain"
"108","YF006",1.29001897332982,108,16.34444444,"14-17","DA",50,50,"certain"
"109","YF006",1.29001897332982,109,16.34444444,"14-17","DA",90,10,"certain"
"110","YF006",1.29001897332982,110,16.34444444,"14-17","DA",50,20,"certain"
"111","YF006",1.29001897332982,111,16.34444444,"14-17","DA",25,10,"chance"
"112","YF006",1.29001897332982,112,16.34444444,"14-17","DA",25,100,"certain"
"113","YF006",1.29001897332982,113,16.34444444,"14-17","DA",50,30,"certain"
"114","YF006",1.29001897332982,114,16.34444444,"14-17","DA",50,5,"chance"
"115","YF006",1.29001897332982,115,16.34444444,"14-17","DA",25,50,"certain"
"116","YF006",1.29001897332982,116,16.34444444,"14-17","DA",10,40,"chance"
"117","YF006",1.29001897332982,117,16.34444444,"14-17","DA",25,20,"chance"
"118","YF006",1.29001897332982,118,16.34444444,"14-17","DA",90,100,"certain"
"119","YF006",1.29001897332982,119,16.34444444,"14-17","DA",10,50,"chance"
"120","YF006",1.29001897332982,120,16.34444444,"14-17","DA",10,5,"chance"
"121","YF006",1.29001897332982,121,16.34444444,"14-17","DA",75,100,"certain"
"122","YF006",1.29001897332982,122,16.34444444,"14-17","DA",50,40,"certain"
"123","YF006",1.29001897332982,123,16.34444444,"14-17","DA",10,20,"chance"
"124","YF006",1.29001897332982,124,16.34444444,"14-17","DA",90,50,"certain"
"125","YF006",1.29001897332982,125,16.34444444,"14-17","DA",90,20,"certain"
"126","YF006",1.29001897332982,126,16.34444444,"14-17","DA",10,10,"chance"
"127","YF006",1.29001897332982,127,16.34444444,"14-17","DA",75,10,"certain"
"128","YF006",1.29001897332982,128,16.34444444,"14-17","DA",90,40,"certain"
"129","YF006",1.29001897332982,129,16.34444444,"14-17","DA",75,40,"certain"
"130","YF006",1.29001897332982,130,16.34444444,"14-17","DA",25,5,"chance"
"131","YF006",1.29001897332982,131,16.34444444,"14-17","DA",10,100,"certain"
"132","YF006",1.29001897332982,132,16.34444444,"14-17","DA",75,30,"certain"
"133","YF006",1.29001897332982,133,16.34444444,"14-17","DA",75,20,"certain"
"134","YF006",1.29001897332982,134,16.34444444,"14-17","DA",75,5,"chance"
"135","YF006",1.29001897332982,135,16.34444444,"14-17","DA",25,40,"chance"
"136","YF006",1.29001897332982,136,16.34444444,"14-17","DA",50,10,"chance"
"137","YF006",1.29001897332982,137,16.34444444,"14-17","DA",25,30,"chance"
"138","YF006",1.29001897332982,138,16.34444444,"14-17","DA",10,30,"chance"
"139","YF006",1.29001897332982,139,16.34444444,"14-17","DA",90,5,"chance"
"140","YF006",1.29001897332982,140,16.34444444,"14-17","DA",75,50,"certain"
"141","YF007",0.544478368506351,141,13.17222222,"13-Dec","DA",10,50,"certain"
"142","YF007",0.544478368506351,142,13.17222222,"13-Dec","DA",25,30,"chance"
"143","YF007",0.544478368506351,143,13.17222222,"13-Dec","DA",75,30,"chance"
"144","YF007",0.544478368506351,144,13.17222222,"13-Dec","DA",90,20,"chance"
"145","YF007",0.544478368506351,145,13.17222222,"13-Dec","DA",10,100,"chance"
"146","YF007",0.544478368506351,146,13.17222222,"13-Dec","DA",90,40,"chance"
"147","YF007",0.544478368506351,147,13.17222222,"13-Dec","DA",50,10,"chance"
"148","YF007",0.544478368506351,148,13.17222222,"13-Dec","DA",90,30,"chance"
"149","YF007",0.544478368506351,149,13.17222222,"13-Dec","DA",25,50,"chance"
"150","YF007",0.544478368506351,150,13.17222222,"13-Dec","DA",90,100,"chance"
"151","YF007",0.544478368506351,151,13.17222222,"13-Dec","DA",50,50,"chance"
"152","YF007",0.544478368506351,152,13.17222222,"13-Dec","DA",75,50,"chance"
"153","YF007",0.544478368506351,153,13.17222222,"13-Dec","DA",10,40,"chance"
"154","YF007",0.544478368506351,154,13.17222222,"13-Dec","DA",25,5,"certain"
"155","YF007",0.544478368506351,155,13.17222222,"13-Dec","DA",75,20,"chance"
"156","YF007",0.544478368506351,156,13.17222222,"13-Dec","DA",10,5,"certain"
"157","YF007",0.544478368506351,157,13.17222222,"13-Dec","DA",50,5,"certain"
"158","YF007",0.544478368506351,158,13.17222222,"13-Dec","DA",75,40,"chance"
"159","YF007",0.544478368506351,159,13.17222222,"13-Dec","DA",75,10,"certain"
"160","YF007",0.544478368506351,160,13.17222222,"13-Dec","DA",25,20,"chance"
"161","YF007",0.544478368506351,161,13.17222222,"13-Dec","DA",10,20,"chance"
"162","YF007",0.544478368506351,162,13.17222222,"13-Dec","DA",50,40,"chance"
"163","YF007",0.544478368506351,163,13.17222222,"13-Dec","DA",10,30,"certain"
"164","YF007",0.544478368506351,164,13.17222222,"13-Dec","DA",50,20,"chance"
"165","YF007",0.544478368506351,165,13.17222222,"13-Dec","DA",25,40,"chance"
"166","YF007",0.544478368506351,166,13.17222222,"13-Dec","DA",25,10,"chance"
"167","YF007",0.544478368506351,167,13.17222222,"13-Dec","DA",10,10,"certain"
"168","YF007",0.544478368506351,168,13.17222222,"13-Dec","DA",75,100,"chance"
"169","YF007",0.544478368506351,169,13.17222222,"13-Dec","DA",90,50,"chance"
"170","YF007",0.544478368506351,170,13.17222222,"13-Dec","DA",50,100,"chance"
"171","YF007",0.544478368506351,171,13.17222222,"13-Dec","DA",90,5,"certain"
"172","YF007",0.544478368506351,172,13.17222222,"13-Dec","DA",75,5,"certain"
"173","YF007",0.544478368506351,173,13.17222222,"13-Dec","DA",50,30,"chance"
"174","YF007",0.544478368506351,174,13.17222222,"13-Dec","DA",90,10,"chance"
"175","YF007",0.544478368506351,175,13.17222222,"13-Dec","DA",25,100,"chance"
"176","YF008",0.407877270967747,176,12.98333333,"13-Dec","DA",90,20,"chance"
"177","YF008",0.407877270967747,177,12.98333333,"13-Dec","DA",50,5,"certain"
"178","YF008",0.407877270967747,178,12.98333333,"13-Dec","DA",10,50,"certain"
"179","YF008",0.407877270967747,179,12.98333333,"13-Dec","DA",10,40,"certain"
"180","YF008",0.407877270967747,180,12.98333333,"13-Dec","DA",75,40,"chance"
"181","YF008",0.407877270967747,181,12.98333333,"13-Dec","DA",90,40,"chance"
"182","YF008",0.407877270967747,182,12.98333333,"13-Dec","DA",75,30,"chance"
"183","YF008",0.407877270967747,183,12.98333333,"13-Dec","DA",25,50,"certain"
"184","YF008",0.407877270967747,184,12.98333333,"13-Dec","DA",50,40,"certain"
"185","YF008",0.407877270967747,185,12.98333333,"13-Dec","DA",25,30,"certain"
"186","YF008",0.407877270967747,186,12.98333333,"13-Dec","DA",75,10,"certain"
"187","YF008",0.407877270967747,187,12.98333333,"13-Dec","DA",50,50,"chance"
"188","YF008",0.407877270967747,188,12.98333333,"13-Dec","DA",50,10,"certain"
"189","YF008",0.407877270967747,189,12.98333333,"13-Dec","DA",75,5,"certain"
"190","YF008",0.407877270967747,190,12.98333333,"13-Dec","DA",10,5,"certain"
"191","YF008",0.407877270967747,191,12.98333333,"13-Dec","DA",50,20,"chance"
"192","YF008",0.407877270967747,192,12.98333333,"13-Dec","DA",25,10,"certain"
"193","YF008",0.407877270967747,193,12.98333333,"13-Dec","DA",10,10,"certain"
"194","YF008",0.407877270967747,194,12.98333333,"13-Dec","DA",90,100,"certain"
"195","YF008",0.407877270967747,195,12.98333333,"13-Dec","DA",90,5,"certain"
"196","YF008",0.407877270967747,196,12.98333333,"13-Dec","DA",75,50,"chance"
"197","YF008",0.407877270967747,197,12.98333333,"13-Dec","DA",25,5,"certain"
"198","YF008",0.407877270967747,198,12.98333333,"13-Dec","DA",50,100,"certain"
"199","YF008",0.407877270967747,199,12.98333333,"13-Dec","DA",25,40,"certain"
"200","YF008",0.407877270967747,200,12.98333333,"13-Dec","DA",25,20,"certain"
"201","YF008",0.407877270967747,201,12.98333333,"13-Dec","DA",10,20,"certain"
"202","YF008",0.407877270967747,202,12.98333333,"13-Dec","DA",10,100,"certain"
"203","YF008",0.407877270967747,203,12.98333333,"13-Dec","DA",90,10,"certain"
"204","YF008",0.407877270967747,204,12.98333333,"13-Dec","DA",90,50,"chance"
"205","YF008",0.407877270967747,205,12.98333333,"13-Dec","DA",90,30,"chance"
"206","YF008",0.407877270967747,206,12.98333333,"13-Dec","DA",10,30,"certain"
"207","YF008",0.407877270967747,207,12.98333333,"13-Dec","DA",50,30,"chance"
"208","YF008",0.407877270967747,208,12.98333333,"13-Dec","DA",75,20,"certain"
"209","YF008",0.407877270967747,209,12.98333333,"13-Dec","DA",25,100,"certain"
"210","YF008",0.407877270967747,210,12.98333333,"13-Dec","DA",75,100,"chance"
"211","YF009",0.656058694437703,211,15.01666667,"14-17","DA",75,10,"certain"
"212","YF009",0.656058694437703,212,15.01666667,"14-17","DA",50,10,"chance"
"213","YF009",0.656058694437703,213,15.01666667,"14-17","DA",50,5,"chance"
"214","YF009",0.656058694437703,214,15.01666667,"14-17","DA",10,50,"certain"
"215","YF009",0.656058694437703,215,15.01666667,"14-17","DA",10,100,"certain"
"216","YF009",0.656058694437703,216,15.01666667,"14-17","DA",25,30,"certain"
"217","YF009",0.656058694437703,217,15.01666667,"14-17","DA",10,30,"certain"
"218","YF009",0.656058694437703,218,15.01666667,"14-17","DA",10,5,"chance"
"219","YF009",0.656058694437703,219,15.01666667,"14-17","DA",50,20,"certain"
"220","YF009",0.656058694437703,220,15.01666667,"14-17","DA",90,100,"chance"
"221","YF009",0.656058694437703,221,15.01666667,"14-17","DA",75,5,"certain"
"222","YF009",0.656058694437703,222,15.01666667,"14-17","DA",50,100,"chance"
"223","YF009",0.656058694437703,223,15.01666667,"14-17","DA",50,50,"chance"
"224","YF009",0.656058694437703,224,15.01666667,"14-17","DA",25,20,"certain"
"225","YF009",0.656058694437703,225,15.01666667,"14-17","DA",90,40,"chance"
"226","YF009",0.656058694437703,226,15.01666667,"14-17","DA",50,30,"certain"
"227","YF009",0.656058694437703,227,15.01666667,"14-17","DA",75,40,"certain"
"228","YF009",0.656058694437703,228,15.01666667,"14-17","DA",25,5,"chance"
"229","YF009",0.656058694437703,229,15.01666667,"14-17","DA",75,50,"certain"
"230","YF009",0.656058694437703,230,15.01666667,"14-17","DA",25,10,"certain"
"231","YF009",0.656058694437703,231,15.01666667,"14-17","DA",90,20,"certain"
"232","YF009",0.656058694437703,232,15.01666667,"14-17","DA",75,20,"certain"
"233","YF009",0.656058694437703,233,15.01666667,"14-17","DA",90,50,"chance"
"234","YF009",0.656058694437703,234,15.01666667,"14-17","DA",90,10,"chance"
"235","YF009",0.656058694437703,235,15.01666667,"14-17","DA",25,50,"certain"
"236","YF009",0.656058694437703,236,15.01666667,"14-17","DA",10,10,"certain"
"237","YF009",0.656058694437703,237,15.01666667,"14-17","DA",90,5,"certain"
"238","YF009",0.656058694437703,238,15.01666667,"14-17","DA",25,40,"certain"
"239","YF009",0.656058694437703,239,15.01666667,"14-17","DA",10,20,"certain"
"240","YF009",0.656058694437703,240,15.01666667,"14-17","DA",75,30,"certain"
"241","YF009",0.656058694437703,241,15.01666667,"14-17","DA",50,40,"certain"
"242","YF009",0.656058694437703,242,15.01666667,"14-17","DA",90,30,"certain"
"243","YF009",0.656058694437703,243,15.01666667,"14-17","DA",10,40,"certain"
"244","YF009",0.656058694437703,244,15.01666667,"14-17","DA",25,100,"certain"
"245","YF009",0.656058694437703,245,15.01666667,"14-17","DA",75,100,"certain"
"246","YF010",0.48919240615934,246,15.24722222,"14-17","DA",50,5,"chance"
"247","YF010",0.48919240615934,247,15.24722222,"14-17","DA",50,50,"certain"
"248","YF010",0.48919240615934,248,15.24722222,"14-17","DA",75,10,"chance"
"249","YF010",0.48919240615934,249,15.24722222,"14-17","DA",90,100,"chance"
"250","YF010",0.48919240615934,250,15.24722222,"14-17","DA",10,20,"chance"
"251","YF010",0.48919240615934,251,15.24722222,"14-17","DA",25,40,"chance"
"252","YF010",0.48919240615934,252,15.24722222,"14-17","DA",50,10,"chance"
"253","YF010",0.48919240615934,253,15.24722222,"14-17","DA",10,50,"chance"
"254","YF010",0.48919240615934,254,15.24722222,"14-17","DA",10,100,"chance"
"255","YF010",0.48919240615934,255,15.24722222,"14-17","DA",75,40,"certain"
"256","YF010",0.48919240615934,256,15.24722222,"14-17","DA",90,50,"certain"
"257","YF010",0.48919240615934,257,15.24722222,"14-17","DA",25,30,"chance"
"258","YF010",0.48919240615934,258,15.24722222,"14-17","DA",90,40,"certain"
"259","YF010",0.48919240615934,259,15.24722222,"14-17","DA",10,10,"chance"
"260","YF010",0.48919240615934,260,15.24722222,"14-17","DA",90,20,"certain"
"261","YF010",0.48919240615934,261,15.24722222,"14-17","DA",75,20,"certain"
"262","YF010",0.48919240615934,262,15.24722222,"14-17","DA",10,5,"certain"
"263","YF010",0.48919240615934,263,15.24722222,"14-17","DA",25,50,"certain"
"264","YF010",0.48919240615934,264,15.24722222,"14-17","DA",75,30,"certain"
"265","YF010",0.48919240615934,265,15.24722222,"14-17","DA",75,5,"chance"
"266","YF010",0.48919240615934,266,15.24722222,"14-17","DA",50,20,"chance"
"267","YF010",0.48919240615934,267,15.24722222,"14-17","DA",50,30,"chance"
"268","YF010",0.48919240615934,268,15.24722222,"14-17","DA",90,10,"certain"
"269","YF010",0.48919240615934,269,15.24722222,"14-17","DA",50,40,"certain"
"270","YF010",0.48919240615934,270,15.24722222,"14-17","DA",10,40,"chance"
"271","YF010",0.48919240615934,271,15.24722222,"14-17","DA",25,10,"chance"
"272","YF010",0.48919240615934,272,15.24722222,"14-17","DA",10,30,"chance"
"273","YF010",0.48919240615934,273,15.24722222,"14-17","DA",50,100,"certain"
"274","YF010",0.48919240615934,274,15.24722222,"14-17","DA",75,50,"certain"
"275","YF010",0.48919240615934,275,15.24722222,"14-17","DA",90,5,"certain"
"276","YF010",0.48919240615934,276,15.24722222,"14-17","DA",25,100,"chance"
"277","YF010",0.48919240615934,277,15.24722222,"14-17","DA",25,5,"certain"
"278","YF010",0.48919240615934,278,15.24722222,"14-17","DA",90,30,"certain"
"279","YF010",0.48919240615934,279,15.24722222,"14-17","DA",75,100,"certain"
"280","YF010",0.48919240615934,280,15.24722222,"14-17","DA",25,20,"chance"
"281","YF011",0.219630677274688,281,15.37222222,"14-17","DA",50,50,"chance"
"282","YF011",0.219630677274688,282,15.37222222,"14-17","DA",50,20,"chance"
"283","YF011",0.219630677274688,283,15.37222222,"14-17","DA",10,100,"chance"
"284","YF011",0.219630677274688,284,15.37222222,"14-17","DA",50,5,"certain"
"285","YF011",0.219630677274688,285,15.37222222,"14-17","DA",75,40,"chance"
"286","YF011",0.219630677274688,286,15.37222222,"14-17","DA",90,100,"chance"
"287","YF011",0.219630677274688,287,15.37222222,"14-17","DA",25,50,"chance"
"288","YF011",0.219630677274688,288,15.37222222,"14-17","DA",25,40,"certain"
"289","YF011",0.219630677274688,289,15.37222222,"14-17","DA",75,20,"chance"
"290","YF011",0.219630677274688,290,15.37222222,"14-17","DA",90,40,"chance"
"291","YF011",0.219630677274688,291,15.37222222,"14-17","DA",25,20,"certain"
"292","YF011",0.219630677274688,292,15.37222222,"14-17","DA",10,40,"chance"
"293","YF011",0.219630677274688,293,15.37222222,"14-17","DA",90,30,"certain"
"294","YF011",0.219630677274688,294,15.37222222,"14-17","DA",90,50,"chance"
"295","YF011",0.219630677274688,295,15.37222222,"14-17","DA",75,100,"chance"
"296","YF011",0.219630677274688,296,15.37222222,"14-17","DA",50,100,"chance"
"297","YF011",0.219630677274688,297,15.37222222,"14-17","DA",90,10,"chance"
"298","YF011",0.219630677274688,298,15.37222222,"14-17","DA",75,50,"chance"
"299","YF011",0.219630677274688,299,15.37222222,"14-17","DA",50,10,"chance"
"300","YF011",0.219630677274688,300,15.37222222,"14-17","DA",90,5,"chance"
"301","YF011",0.219630677274688,301,15.37222222,"14-17","DA",90,20,"chance"
"302","YF011",0.219630677274688,302,15.37222222,"14-17","DA",10,50,"certain"
"303","YF011",0.219630677274688,303,15.37222222,"14-17","DA",75,5,"certain"
"304","YF011",0.219630677274688,304,15.37222222,"14-17","DA",50,30,"chance"
"305","YF011",0.219630677274688,305,15.37222222,"14-17","DA",10,5,"certain"
"306","YF011",0.219630677274688,306,15.37222222,"14-17","DA",25,30,"certain"
"307","YF011",0.219630677274688,307,15.37222222,"14-17","DA",25,10,"certain"
"308","YF011",0.219630677274688,308,15.37222222,"14-17","DA",25,5,"chance"
"309","YF011",0.219630677274688,309,15.37222222,"14-17","DA",10,10,"chance"
"310","YF011",0.219630677274688,310,15.37222222,"14-17","DA",25,100,"chance"
"311","YF011",0.219630677274688,311,15.37222222,"14-17","DA",10,20,"certain"
"312","YF011",0.219630677274688,312,15.37222222,"14-17","DA",50,40,"chance"
"313","YF011",0.219630677274688,313,15.37222222,"14-17","DA",10,30,"certain"
"314","YF011",0.219630677274688,314,15.37222222,"14-17","DA",75,30,"chance"
"315","YF011",0.219630677274688,315,15.37222222,"14-17","DA",75,10,"certain"
"316","YF012",0.176140226183966,316,15.43888889,"14-17","DA",75,40,"chance"
"317","YF012",0.176140226183966,317,15.43888889,"14-17","DA",25,40,"chance"
"318","YF012",0.176140226183966,318,15.43888889,"14-17","DA",50,50,"chance"
"319","YF012",0.176140226183966,319,15.43888889,"14-17","DA",10,100,"chance"
"320","YF012",0.176140226183966,320,15.43888889,"14-17","DA",25,20,"certain"
"321","YF012",0.176140226183966,321,15.43888889,"14-17","DA",90,40,"chance"
"322","YF012",0.176140226183966,322,15.43888889,"14-17","DA",10,40,"certain"
"323","YF012",0.176140226183966,323,15.43888889,"14-17","DA",10,50,"chance"
"324","YF012",0.176140226183966,324,15.43888889,"14-17","DA",75,20,"chance"
"325","YF012",0.176140226183966,325,15.43888889,"14-17","DA",50,30,"certain"
"326","YF012",0.176140226183966,326,15.43888889,"14-17","DA",50,5,"certain"
"327","YF012",0.176140226183966,327,15.43888889,"14-17","DA",50,100,"chance"
"328","YF012",0.176140226183966,328,15.43888889,"14-17","DA",10,10,"certain"
"329","YF012",0.176140226183966,329,15.43888889,"14-17","DA",50,20,"chance"
"330","YF012",0.176140226183966,330,15.43888889,"14-17","DA",25,100,"chance"
"331","YF012",0.176140226183966,331,15.43888889,"14-17","DA",75,5,"certain"
"332","YF012",0.176140226183966,332,15.43888889,"14-17","DA",75,100,"chance"
"333","YF012",0.176140226183966,333,15.43888889,"14-17","DA",75,50,"chance"
"334","YF012",0.176140226183966,334,15.43888889,"14-17","DA",25,10,"certain"
"335","YF012",0.176140226183966,335,15.43888889,"14-17","DA",10,30,"certain"
"336","YF012",0.176140226183966,336,15.43888889,"14-17","DA",10,5,"certain"
"337","YF012",0.176140226183966,337,15.43888889,"14-17","DA",90,5,"certain"
"338","YF012",0.176140226183966,338,15.43888889,"14-17","DA",90,30,"chance"
"339","YF012",0.176140226183966,339,15.43888889,"14-17","DA",75,30,"chance"
"340","YF012",0.176140226183966,340,15.43888889,"14-17","DA",10,20,"certain"
"341","YF012",0.176140226183966,341,15.43888889,"14-17","DA",25,5,"certain"
