"","SID","age","Age_Category","Condition","Chance","Amount","response_self"
"40","YF004",12.20555556,"13-Dec","Baseline",75,5,"certain"
"41","YF004",12.20555556,"13-Dec","Baseline",75,30,"chance"
"42","YF004",12.20555556,"13-Dec","Baseline",10,30,"certain"
"43","YF004",12.20555556,"13-Dec","Baseline",10,20,"certain"
"44","YF004",12.20555556,"13-Dec","Baseline",10,5,"certain"
"45","YF004",12.20555556,"13-Dec","Baseline",50,5,"certain"
"46","YF004",12.20555556,"13-Dec","Baseline",10,40,"certain"
"47","YF004",12.20555556,"13-Dec","Baseline",90,5,"certain"
"48","YF004",12.20555556,"13-Dec","Baseline",10,100,"certain"
"49","YF004",12.20555556,"13-Dec","Baseline",10,10,"certain"
"50","YF004",12.20555556,"13-Dec","Baseline",50,50,"chance"
"51","YF004",12.20555556,"13-Dec","Baseline",25,20,"certain"
"52","YF004",12.20555556,"13-Dec","Baseline",50,40,"chance"
"53","YF004",12.20555556,"13-Dec","Baseline",90,40,"chance"
"54","YF004",12.20555556,"13-Dec","Baseline",50,30,"chance"
"55","YF004",12.20555556,"13-Dec","Baseline",25,50,"certain"
"56","YF004",12.20555556,"13-Dec","Baseline",50,100,"chance"
"57","YF004",12.20555556,"13-Dec","Baseline",75,50,"chance"
"58","YF004",12.20555556,"13-Dec","Baseline",90,100,"chance"
"59","YF004",12.20555556,"13-Dec","Baseline",25,10,"certain"
"60","YF004",12.20555556,"13-Dec","Baseline",90,50,"chance"
"61","YF004",12.20555556,"13-Dec","Baseline",25,100,"certain"
"62","YF004",12.20555556,"13-Dec","Baseline",25,40,"certain"
"63","YF004",12.20555556,"13-Dec","Baseline",25,5,"certain"
"64","YF004",12.20555556,"13-Dec","Baseline",50,20,"certain"
"65","YF004",12.20555556,"13-Dec","Baseline",25,30,"chance"
"66","YF004",12.20555556,"13-Dec","Baseline",75,20,"chance"
"67","YF004",12.20555556,"13-Dec","Baseline",10,50,"certain"
"68","YF004",12.20555556,"13-Dec","Baseline",75,10,"chance"
"69","YF004",12.20555556,"13-Dec","Baseline",75,40,"chance"
"70","YF004",12.20555556,"13-Dec","Baseline",50,10,"chance"
"71","YF005",16.44166667,"14-17","Baseline",50,50,"chance"
"72","YF005",16.44166667,"14-17","Baseline",50,20,"certain"
"73","YF005",16.44166667,"14-17","Baseline",25,50,"certain"
"74","YF005",16.44166667,"14-17","Baseline",90,50,"chance"
"75","YF005",16.44166667,"14-17","Baseline",25,100,"certain"
"76","YF005",16.44166667,"14-17","Baseline",75,40,"chance"
"77","YF005",16.44166667,"14-17","Baseline",10,5,"certain"
"78","YF005",16.44166667,"14-17","Baseline",10,30,"certain"
"79","YF005",16.44166667,"14-17","Baseline",90,40,"chance"
"80","YF005",16.44166667,"14-17","Baseline",10,50,"certain"
"81","YF005",16.44166667,"14-17","Baseline",75,30,"chance"
"82","YF005",16.44166667,"14-17","Baseline",10,100,"certain"
"83","YF005",16.44166667,"14-17","Baseline",50,5,"certain"
"84","YF005",16.44166667,"14-17","Baseline",10,40,"certain"
"85","YF005",16.44166667,"14-17","Baseline",90,20,"chance"
"86","YF005",16.44166667,"14-17","Baseline",25,10,"certain"
"87","YF005",16.44166667,"14-17","Baseline",75,20,"chance"
"88","YF005",16.44166667,"14-17","Baseline",75,100,"chance"
"89","YF005",16.44166667,"14-17","Baseline",25,30,"certain"
"90","YF005",16.44166667,"14-17","Baseline",50,40,"chance"
"91","YF005",16.44166667,"14-17","Baseline",25,20,"certain"
"92","YF005",16.44166667,"14-17","Baseline",25,40,"certain"
"93","YF005",16.44166667,"14-17","Baseline",50,30,"chance"
"94","YF005",16.44166667,"14-17","Baseline",10,10,"certain"
"95","YF005",16.44166667,"14-17","Baseline",90,30,"chance"
"96","YF005",16.44166667,"14-17","Baseline",90,100,"chance"
"97","YF005",16.44166667,"14-17","Baseline",75,50,"chance"
"98","YF005",16.44166667,"14-17","Baseline",75,5,"certain"
"99","YF005",16.44166667,"14-17","Baseline",90,5,"certain"
"100","YF005",16.44166667,"14-17","Baseline",10,20,"certain"
"101","YF005",16.44166667,"14-17","Baseline",90,10,"certain"
"102","YF005",16.44166667,"14-17","Baseline",75,10,"certain"
"103","YF005",16.44166667,"14-17","Baseline",50,10,"certain"
"104","YF005",16.44166667,"14-17","Baseline",50,100,"certain"
"105","YF005",16.44166667,"14-17","Baseline",25,5,"certain"
"106","YF006",16.34444444,"14-17","Baseline",50,30,"chance"
"107","YF006",16.34444444,"14-17","Baseline",50,40,"chance"
"108","YF006",16.34444444,"14-17","Baseline",50,20,"chance"
"109","YF006",16.34444444,"14-17","Baseline",50,50,"chance"
"110","YF006",16.34444444,"14-17","Baseline",75,100,"chance"
"111","YF006",16.34444444,"14-17","Baseline",50,10,"certain"
"112","YF006",16.34444444,"14-17","Baseline",25,100,"chance"
"113","YF006",16.34444444,"14-17","Baseline",10,50,"certain"
"114","YF006",16.34444444,"14-17","Baseline",90,20,"chance"
"115","YF006",16.34444444,"14-17","Baseline",50,5,"certain"
"116","YF006",16.34444444,"14-17","Baseline",25,30,"certain"
"117","YF006",16.34444444,"14-17","Baseline",75,30,"chance"
"118","YF006",16.34444444,"14-17","Baseline",90,5,"certain"
"119","YF006",16.34444444,"14-17","Baseline",90,30,"chance"
"120","YF006",16.34444444,"14-17","Baseline",90,100,"chance"
"121","YF006",16.34444444,"14-17","Baseline",90,10,"chance"
"122","YF006",16.34444444,"14-17","Baseline",75,40,"chance"
"123","YF006",16.34444444,"14-17","Baseline",10,40,"certain"
"124","YF006",16.34444444,"14-17","Baseline",10,30,"certain"
"125","YF006",16.34444444,"14-17","Baseline",25,5,"certain"
"126","YF006",16.34444444,"14-17","Baseline",50,100,"chance"
"127","YF006",16.34444444,"14-17","Baseline",90,50,"chance"
"128","YF006",16.34444444,"14-17","Baseline",10,5,"certain"
"129","YF006",16.34444444,"14-17","Baseline",25,20,"certain"
"130","YF006",16.34444444,"14-17","Baseline",25,50,"certain"
"131","YF006",16.34444444,"14-17","Baseline",10,100,"chance"
"132","YF006",16.34444444,"14-17","Baseline",10,10,"certain"
"133","YF006",16.34444444,"14-17","Baseline",75,50,"chance"
"134","YF006",16.34444444,"14-17","Baseline",90,40,"chance"
"135","YF006",16.34444444,"14-17","Baseline",25,10,"certain"
"136","YF006",16.34444444,"14-17","Baseline",75,5,"certain"
"137","YF006",16.34444444,"14-17","Baseline",25,40,"certain"
"138","YF006",16.34444444,"14-17","Baseline",75,10,"chance"
"139","YF006",16.34444444,"14-17","Baseline",10,20,"certain"
"140","YF006",16.34444444,"14-17","Baseline",75,20,"chance"
"141","YF007",13.17222222,"13-Dec","Baseline",50,5,"certain"
"142","YF007",13.17222222,"13-Dec","Baseline",50,100,"chance"
"143","YF007",13.17222222,"13-Dec","Baseline",75,100,"chance"
"144","YF007",13.17222222,"13-Dec","Baseline",50,20,"certain"
"145","YF007",13.17222222,"13-Dec","Baseline",10,30,"certain"
"146","YF007",13.17222222,"13-Dec","Baseline",10,100,"chance"
"147","YF007",13.17222222,"13-Dec","Baseline",10,40,"certain"
"148","YF007",13.17222222,"13-Dec","Baseline",90,50,"chance"
"149","YF007",13.17222222,"13-Dec","Baseline",25,100,"chance"
"150","YF007",13.17222222,"13-Dec","Baseline",75,5,"certain"
"151","YF007",13.17222222,"13-Dec","Baseline",50,10,"certain"
"152","YF007",13.17222222,"13-Dec","Baseline",10,5,"certain"
"153","YF007",13.17222222,"13-Dec","Baseline",90,40,"chance"
"154","YF007",13.17222222,"13-Dec","Baseline",25,10,"certain"
"155","YF007",13.17222222,"13-Dec","Baseline",90,30,"chance"
"156","YF007",13.17222222,"13-Dec","Baseline",75,10,"chance"
"157","YF007",13.17222222,"13-Dec","Baseline",90,20,"chance"
"158","YF007",13.17222222,"13-Dec","Baseline",10,10,"certain"
"159","YF007",13.17222222,"13-Dec","Baseline",25,30,"certain"
"160","YF007",13.17222222,"13-Dec","Baseline",50,50,"chance"
"161","YF007",13.17222222,"13-Dec","Baseline",90,10,"chance"
"162","YF007",13.17222222,"13-Dec","Baseline",25,20,"certain"
"163","YF007",13.17222222,"13-Dec","Baseline",75,20,"certain"
"164","YF007",13.17222222,"13-Dec","Baseline",25,5,"certain"
"165","YF007",13.17222222,"13-Dec","Baseline",10,20,"certain"
"166","YF007",13.17222222,"13-Dec","Baseline",75,30,"chance"
"167","YF007",13.17222222,"13-Dec","Baseline",90,100,"chance"
"168","YF007",13.17222222,"13-Dec","Baseline",50,40,"certain"
"169","YF007",13.17222222,"13-Dec","Baseline",25,40,"certain"
"170","YF007",13.17222222,"13-Dec","Baseline",25,50,"certain"
"171","YF007",13.17222222,"13-Dec","Baseline",75,50,"chance"
"172","YF007",13.17222222,"13-Dec","Baseline",50,30,"chance"
"173","YF007",13.17222222,"13-Dec","Baseline",10,50,"certain"
"174","YF007",13.17222222,"13-Dec","Baseline",90,5,"certain"
"175","YF007",13.17222222,"13-Dec","Baseline",75,40,"chance"
"176","YF008",12.98333333,"13-Dec","Baseline",90,50,"chance"
"177","YF008",12.98333333,"13-Dec","Baseline",50,10,"certain"
"178","YF008",12.98333333,"13-Dec","Baseline",25,10,"certain"
"179","YF008",12.98333333,"13-Dec","Baseline",90,40,"chance"
"180","YF008",12.98333333,"13-Dec","Baseline",10,40,"certain"
"181","YF008",12.98333333,"13-Dec","Baseline",75,5,"certain"
"182","YF008",12.98333333,"13-Dec","Baseline",25,100,"certain"
"183","YF008",12.98333333,"13-Dec","Baseline",10,30,"certain"
"184","YF008",12.98333333,"13-Dec","Baseline",10,5,"certain"
"185","YF008",12.98333333,"13-Dec","Baseline",50,20,"certain"
"186","YF008",12.98333333,"13-Dec","Baseline",50,100,"chance"
"187","YF008",12.98333333,"13-Dec","Baseline",90,100,"chance"
"188","YF008",12.98333333,"13-Dec","Baseline",50,50,"certain"
"189","YF008",12.98333333,"13-Dec","Baseline",90,10,"certain"
"190","YF008",12.98333333,"13-Dec","Baseline",50,5,"certain"
"191","YF008",12.98333333,"13-Dec","Baseline",25,5,"certain"
"192","YF008",12.98333333,"13-Dec","Baseline",10,100,"certain"
"193","YF008",12.98333333,"13-Dec","Baseline",90,20,"chance"
"194","YF008",12.98333333,"13-Dec","Baseline",75,30,"certain"
"195","YF008",12.98333333,"13-Dec","Baseline",25,40,"certain"
"196","YF008",12.98333333,"13-Dec","Baseline",75,10,"certain"
"197","YF008",12.98333333,"13-Dec","Baseline",10,20,"certain"
"198","YF008",12.98333333,"13-Dec","Baseline",10,10,"certain"
"199","YF008",12.98333333,"13-Dec","Baseline",75,20,"certain"
"200","YF008",12.98333333,"13-Dec","Baseline",50,40,"certain"
"201","YF008",12.98333333,"13-Dec","Baseline",75,50,"chance"
"202","YF008",12.98333333,"13-Dec","Baseline",90,5,"certain"
"203","YF008",12.98333333,"13-Dec","Baseline",25,50,"certain"
"204","YF008",12.98333333,"13-Dec","Baseline",90,30,"chance"
"205","YF008",12.98333333,"13-Dec","Baseline",75,100,"chance"
"206","YF008",12.98333333,"13-Dec","Baseline",75,40,"chance"
"207","YF008",12.98333333,"13-Dec","Baseline",25,30,"certain"
"208","YF008",12.98333333,"13-Dec","Baseline",50,30,"certain"
"209","YF008",12.98333333,"13-Dec","Baseline",25,20,"certain"
"210","YF008",12.98333333,"13-Dec","Baseline",10,50,"certain"
"211","YF009",15.01666667,"14-17","Baseline",10,10,"certain"
"212","YF009",15.01666667,"14-17","Baseline",50,50,"chance"
"213","YF009",15.01666667,"14-17","Baseline",90,10,"certain"
"214","YF009",15.01666667,"14-17","Baseline",10,40,"certain"
"215","YF009",15.01666667,"14-17","Baseline",50,40,"certain"
"216","YF009",15.01666667,"14-17","Baseline",50,20,"chance"
"217","YF009",15.01666667,"14-17","Baseline",75,30,"certain"
"218","YF009",15.01666667,"14-17","Baseline",25,30,"certain"
"219","YF009",15.01666667,"14-17","Baseline",90,30,"chance"
"220","YF009",15.01666667,"14-17","Baseline",75,50,"chance"
"221","YF009",15.01666667,"14-17","Baseline",25,10,"certain"
"222","YF009",15.01666667,"14-17","Baseline",10,100,"certain"
"223","YF009",15.01666667,"14-17","Baseline",50,30,"certain"
"224","YF009",15.01666667,"14-17","Baseline",90,5,"certain"
"225","YF009",15.01666667,"14-17","Baseline",90,50,"chance"
"226","YF009",15.01666667,"14-17","Baseline",25,5,"certain"
"227","YF009",15.01666667,"14-17","Baseline",10,5,"certain"
"228","YF009",15.01666667,"14-17","Baseline",10,50,"certain"
"229","YF009",15.01666667,"14-17","Baseline",90,20,"chance"
"230","YF009",15.01666667,"14-17","Baseline",75,10,"certain"
"231","YF009",15.01666667,"14-17","Baseline",50,10,"chance"
"232","YF009",15.01666667,"14-17","Baseline",75,40,"certain"
"233","YF009",15.01666667,"14-17","Baseline",75,100,"chance"
"234","YF009",15.01666667,"14-17","Baseline",10,30,"certain"
"235","YF009",15.01666667,"14-17","Baseline",90,100,"chance"
"236","YF009",15.01666667,"14-17","Baseline",25,40,"certain"
"237","YF009",15.01666667,"14-17","Baseline",50,100,"chance"
"238","YF009",15.01666667,"14-17","Baseline",75,5,"certain"
"239","YF009",15.01666667,"14-17","Baseline",25,100,"chance"
"240","YF009",15.01666667,"14-17","Baseline",75,20,"chance"
"241","YF009",15.01666667,"14-17","Baseline",25,20,"certain"
"242","YF009",15.01666667,"14-17","Baseline",50,5,"certain"
"243","YF009",15.01666667,"14-17","Baseline",25,50,"certain"
"244","YF009",15.01666667,"14-17","Baseline",90,40,"chance"
"245","YF009",15.01666667,"14-17","Baseline",10,20,"certain"
"246","YF010",15.24722222,"14-17","Baseline",50,20,"chance"
"247","YF010",15.24722222,"14-17","Baseline",50,40,"chance"
"248","YF010",15.24722222,"14-17","Baseline",10,40,"certain"
"249","YF010",15.24722222,"14-17","Baseline",90,100,"chance"
"250","YF010",15.24722222,"14-17","Baseline",90,50,"chance"
"251","YF010",15.24722222,"14-17","Baseline",75,30,"chance"
"252","YF010",15.24722222,"14-17","Baseline",10,10,"certain"
"253","YF010",15.24722222,"14-17","Baseline",50,5,"certain"
"254","YF010",15.24722222,"14-17","Baseline",50,50,"chance"
"255","YF010",15.24722222,"14-17","Baseline",50,10,"certain"
"256","YF010",15.24722222,"14-17","Baseline",10,50,"chance"
"257","YF010",15.24722222,"14-17","Baseline",90,20,"chance"
"258","YF010",15.24722222,"14-17","Baseline",25,5,"certain"
"259","YF010",15.24722222,"14-17","Baseline",90,40,"chance"
"260","YF010",15.24722222,"14-17","Baseline",25,100,"chance"
"261","YF010",15.24722222,"14-17","Baseline",50,30,"chance"
"262","YF010",15.24722222,"14-17","Baseline",90,10,"chance"
"263","YF010",15.24722222,"14-17","Baseline",25,50,"chance"
"264","YF010",15.24722222,"14-17","Baseline",10,5,"certain"
"265","YF010",15.24722222,"14-17","Baseline",10,100,"chance"
"266","YF010",15.24722222,"14-17","Baseline",25,30,"certain"
"267","YF010",15.24722222,"14-17","Baseline",90,5,"certain"
"268","YF010",15.24722222,"14-17","Baseline",75,5,"certain"
"269","YF010",15.24722222,"14-17","Baseline",75,10,"certain"
"270","YF010",15.24722222,"14-17","Baseline",25,40,"chance"
"271","YF010",15.24722222,"14-17","Baseline",25,20,"certain"
"272","YF010",15.24722222,"14-17","Baseline",10,20,"certain"
"273","YF010",15.24722222,"14-17","Baseline",75,40,"chance"
"274","YF010",15.24722222,"14-17","Baseline",75,50,"chance"
"275","YF010",15.24722222,"14-17","Baseline",90,30,"chance"
"276","YF010",15.24722222,"14-17","Baseline",75,100,"chance"
"277","YF010",15.24722222,"14-17","Baseline",25,10,"certain"
"278","YF010",15.24722222,"14-17","Baseline",10,30,"certain"
"279","YF010",15.24722222,"14-17","Baseline",50,100,"chance"
"280","YF010",15.24722222,"14-17","Baseline",75,20,"chance"
"281","YF011",15.37222222,"14-17","Baseline",50,5,"certain"
"282","YF011",15.37222222,"14-17","Baseline",10,40,"certain"
"283","YF011",15.37222222,"14-17","Baseline",75,20,"certain"
"284","YF011",15.37222222,"14-17","Baseline",75,5,"certain"
"285","YF011",15.37222222,"14-17","Baseline",25,10,"certain"
"286","YF011",15.37222222,"14-17","Baseline",10,20,"certain"
"287","YF011",15.37222222,"14-17","Baseline",50,30,"certain"
"288","YF011",15.37222222,"14-17","Baseline",90,10,"chance"
"289","YF011",15.37222222,"14-17","Baseline",25,5,"certain"
"290","YF011",15.37222222,"14-17","Baseline",50,10,"certain"
"291","YF011",15.37222222,"14-17","Baseline",25,100,"chance"
"292","YF011",15.37222222,"14-17","Baseline",90,40,"chance"
"293","YF011",15.37222222,"14-17","Baseline",90,50,"chance"
"294","YF011",15.37222222,"14-17","Baseline",75,50,"chance"
"295","YF011",15.37222222,"14-17","Baseline",25,40,"certain"
"296","YF011",15.37222222,"14-17","Baseline",90,20,"chance"
"297","YF011",15.37222222,"14-17","Baseline",10,5,"certain"
"298","YF011",15.37222222,"14-17","Baseline",25,30,"certain"
"299","YF011",15.37222222,"14-17","Baseline",75,30,"certain"
"300","YF011",15.37222222,"14-17","Baseline",50,50,"chance"
"301","YF011",15.37222222,"14-17","Baseline",75,10,"chance"
"302","YF011",15.37222222,"14-17","Baseline",25,20,"certain"
"303","YF011",15.37222222,"14-17","Baseline",10,30,"certain"
"304","YF011",15.37222222,"14-17","Baseline",10,50,"certain"
"305","YF011",15.37222222,"14-17","Baseline",90,100,"chance"
"306","YF011",15.37222222,"14-17","Baseline",25,50,"certain"
"307","YF011",15.37222222,"14-17","Baseline",90,30,"chance"
"308","YF011",15.37222222,"14-17","Baseline",50,20,"certain"
"309","YF011",15.37222222,"14-17","Baseline",10,100,"certain"
"310","YF011",15.37222222,"14-17","Baseline",10,10,"certain"
"311","YF011",15.37222222,"14-17","Baseline",50,100,"chance"
"312","YF011",15.37222222,"14-17","Baseline",90,5,"certain"
"313","YF011",15.37222222,"14-17","Baseline",75,100,"chance"
"314","YF011",15.37222222,"14-17","Baseline",50,40,"chance"
"315","YF011",15.37222222,"14-17","Baseline",75,40,"chance"
"316","YF012",15.43888889,"14-17","Baseline",50,5,"certain"
"317","YF012",15.43888889,"14-17","Baseline",25,30,"certain"
"318","YF012",15.43888889,"14-17","Baseline",10,40,"certain"
"319","YF012",15.43888889,"14-17","Baseline",90,40,"chance"
"320","YF012",15.43888889,"14-17","Baseline",10,100,"certain"
"321","YF012",15.43888889,"14-17","Baseline",25,20,"certain"
"322","YF012",15.43888889,"14-17","Baseline",10,20,"certain"
"323","YF012",15.43888889,"14-17","Baseline",75,5,"certain"
"324","YF012",15.43888889,"14-17","Baseline",75,30,"chance"
"325","YF012",15.43888889,"14-17","Baseline",90,10,"chance"
"326","YF012",15.43888889,"14-17","Baseline",25,40,"certain"
"327","YF012",15.43888889,"14-17","Baseline",50,50,"chance"
"328","YF012",15.43888889,"14-17","Baseline",90,100,"chance"
"329","YF012",15.43888889,"14-17","Baseline",50,40,"certain"
"330","YF012",15.43888889,"14-17","Baseline",10,10,"certain"
"331","YF012",15.43888889,"14-17","Baseline",50,10,"certain"
"332","YF012",15.43888889,"14-17","Baseline",10,5,"certain"
"333","YF012",15.43888889,"14-17","Baseline",75,20,"certain"
"334","YF012",15.43888889,"14-17","Baseline",25,10,"certain"
"335","YF012",15.43888889,"14-17","Baseline",25,50,"certain"
"336","YF012",15.43888889,"14-17","Baseline",25,5,"certain"
"337","YF012",15.43888889,"14-17","Baseline",75,50,"chance"
"338","YF012",15.43888889,"14-17","Baseline",50,20,"certain"
"339","YF012",15.43888889,"14-17","Baseline",90,20,"chance"
"340","YF012",15.43888889,"14-17","Baseline",50,100,"chance"
"341","YF012",15.43888889,"14-17","Baseline",10,50,"chance"
"342","YF012",15.43888889,"14-17","Baseline",75,10,"certain"
"343","YF012",15.43888889,"14-17","Baseline",90,50,"chance"
"344","YF012",15.43888889,"14-17","Baseline",10,30,"certain"
"345","YF012",15.43888889,"14-17","Baseline",50,30,"certain"
"346","YF012",15.43888889,"14-17","Baseline",90,30,"chance"
"347","YF012",15.43888889,"14-17","Baseline",25,100,"certain"
"348","YF012",15.43888889,"14-17","Baseline",90,5,"certain"
"349","YF012",15.43888889,"14-17","Baseline",75,100,"chance"
"350","YF012",15.43888889,"14-17","Baseline",75,40,"chance"
"351","YF013",15.975,"14-17","Baseline",50,5,"certain"
"352","YF013",15.975,"14-17","Baseline",75,30,"certain"
"353","YF013",15.975,"14-17","Baseline",10,10,"certain"
"354","YF013",15.975,"14-17","Baseline",50,30,"certain"
"355","YF013",15.975,"14-17","Baseline",50,10,"certain"
"356","YF013",15.975,"14-17","Baseline",10,20,"certain"
"357","YF013",15.975,"14-17","Baseline",10,40,"certain"
"358","YF013",15.975,"14-17","Baseline",25,100,"chance"
"359","YF013",15.975,"14-17","Baseline",75,5,"certain"
"360","YF013",15.975,"14-17","Baseline",10,100,"chance"
"361","YF013",15.975,"14-17","Baseline",10,5,"certain"
"362","YF013",15.975,"14-17","Baseline",50,40,"chance"
"363","YF013",15.975,"14-17","Baseline",75,20,"certain"
"364","YF013",15.975,"14-17","Baseline",10,50,"chance"
"365","YF013",15.975,"14-17","Baseline",10,30,"certain"
"366","YF013",15.975,"14-17","Baseline",90,20,"chance"
"367","YF013",15.975,"14-17","Baseline",25,5,"certain"
"368","YF013",15.975,"14-17","Baseline",75,100,"chance"
"369","YF013",15.975,"14-17","Baseline",50,50,"chance"
"370","YF013",15.975,"14-17","Baseline",25,50,"certain"
"371","YF013",15.975,"14-17","Baseline",90,50,"chance"
"372","YF013",15.975,"14-17","Baseline",90,10,"chance"
"373","YF013",15.975,"14-17","Baseline",25,10,"certain"
"374","YF013",15.975,"14-17","Baseline",50,100,"chance"
"375","YF013",15.975,"14-17","Baseline",75,10,"certain"
"376","YF013",15.975,"14-17","Baseline",90,40,"chance"
"377","YF013",15.975,"14-17","Baseline",90,30,"chance"
"378","YF013",15.975,"14-17","Baseline",50,20,"certain"
"379","YF013",15.975,"14-17","Baseline",25,20,"certain"
"380","YF013",15.975,"14-17","Baseline",25,30,"certain"
"381","YF013",15.975,"14-17","Baseline",75,50,"chance"
"382","YF013",15.975,"14-17","Baseline",90,5,"certain"
"383","YF013",15.975,"14-17","Baseline",25,40,"certain"
"384","YF013",15.975,"14-17","Baseline",90,100,"chance"
"385","YF013",15.975,"14-17","Baseline",75,40,"chance"
"386","YF014",16.13055556,"14-17","Baseline",10,40,"certain"
"387","YF014",16.13055556,"14-17","Baseline",25,20,"certain"
"388","YF014",16.13055556,"14-17","Baseline",50,100,"chance"
"389","YF014",16.13055556,"14-17","Baseline",50,40,"chance"
"390","YF014",16.13055556,"14-17","Baseline",25,30,"certain"
"391","YF014",16.13055556,"14-17","Baseline",25,5,"certain"
"392","YF014",16.13055556,"14-17","Baseline",75,50,"chance"
"393","YF014",16.13055556,"14-17","Baseline",75,30,"chance"
"394","YF014",16.13055556,"14-17","Baseline",90,10,"chance"
"395","YF014",16.13055556,"14-17","Baseline",90,20,"chance"
"396","YF014",16.13055556,"14-17","Baseline",25,100,"chance"
"397","YF014",16.13055556,"14-17","Baseline",90,100,"chance"
"398","YF014",16.13055556,"14-17","Baseline",10,20,"certain"
"399","YF014",16.13055556,"14-17","Baseline",90,40,"chance"
"400","YF014",16.13055556,"14-17","Baseline",10,50,"chance"
"401","YF014",16.13055556,"14-17","Baseline",10,5,"certain"
"402","YF014",16.13055556,"14-17","Baseline",90,50,"chance"
"403","YF014",16.13055556,"14-17","Baseline",75,100,"chance"
"404","YF014",16.13055556,"14-17","Baseline",50,50,"chance"
"405","YF014",16.13055556,"14-17","Baseline",75,5,"certain"
"406","YF014",16.13055556,"14-17","Baseline",50,20,"chance"
"407","YF014",16.13055556,"14-17","Baseline",10,30,"certain"
"408","YF014",16.13055556,"14-17","Baseline",25,50,"chance"
"409","YF014",16.13055556,"14-17","Baseline",90,5,"certain"
"410","YF014",16.13055556,"14-17","Baseline",10,10,"certain"
"411","YF014",16.13055556,"14-17","Baseline",90,30,"chance"
"412","YF014",16.13055556,"14-17","Baseline",10,100,"chance"
"413","YF014",16.13055556,"14-17","Baseline",50,5,"certain"
"414","YF014",16.13055556,"14-17","Baseline",50,10,"chance"
"415","YF014",16.13055556,"14-17","Baseline",75,20,"chance"
"416","YF014",16.13055556,"14-17","Baseline",25,10,"certain"
"417","YF014",16.13055556,"14-17","Baseline",75,10,"chance"
"418","YF014",16.13055556,"14-17","Baseline",25,40,"certain"
"419","YF014",16.13055556,"14-17","Baseline",75,40,"chance"
"420","YF014",16.13055556,"14-17","Baseline",50,30,"chance"
"421","YF015",13.64444444,"13-Dec","Baseline",25,50,"chance"
"422","YF015",13.64444444,"13-Dec","Baseline",10,10,"certain"
"423","YF015",13.64444444,"13-Dec","Baseline",10,5,"certain"
"424","YF015",13.64444444,"13-Dec","Baseline",10,40,"certain"
"425","YF015",13.64444444,"13-Dec","Baseline",90,40,"chance"
"426","YF015",13.64444444,"13-Dec","Baseline",50,40,"chance"
"427","YF015",13.64444444,"13-Dec","Baseline",75,100,"chance"
"428","YF015",13.64444444,"13-Dec","Baseline",75,30,"chance"
